winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Andre Kientzler,Riesling Alsace Grand Cru Geisberg 2012,France,Alsace Grand Cru,3.9,39,https://www.vivino.com/andre-kientzler-riesling-alsace-grand-cru-geisberg/w/1164660?year=2012&price_id=17814885
Joseph Mellot,Domaine Des Emois Sancerre 2018,France,Sancerre,3.9,39,https://www.vivino.com/joseph-mellot-domaine-des-emois-sancerre/w/2427862?year=2018&price_id=18534992
Peter Zemmer,Pinot Grigio Riserva Giatl 2015,Italy,Südtirol - Alto Adige,3.9,39,https://www.vivino.com/peter-zemmer-pinot-grigio-riserva-giatl/w/5546719?year=2015&price_id=15731358
Binner,Gewürztraminer 2016,France,Alsace,3.9,37,https://www.vivino.com/binner-gewurztraminer/w/1652648?year=2016&price_id=17176992
Joseph Burrier (Château de Beauregard),Pouilly-Fuissé Classique 2015,France,Pouilly-Fuissé,3.9,37,https://www.vivino.com/joseph-burrier-pouilly-fuisse-classique/w/1516710?year=2015&price_id=20351830
Birichino,Jurassic Park Vineyard Old Vines Chenin Blanc 2016,United States,Santa Ynez Valley,3.9,37,https://www.vivino.com/birichino-jurassic-park-vineyard-old-vines-chenin-blanc/w/2721675?year=2016&price_id=15445297
Cascina Degli Ulivi,Filagnotti Bianco 2012,Italy,Gavi,3.9,37,https://www.vivino.com/cascina-degli-ulivi-filagnotti-bianco/w/1147767?year=2012&price_id=13085934
Domaine William Fèvre,Chablis Premier Cru Beauroy 2016,France,Chablis Premier Cru,3.9,36,https://www.vivino.com/domaine-william-fevre-chablis-premier-cru-beauroy/w/2214944?year=2016&price_id=16438444
Christian Moreau Pere & Fils,Chablis 1er Cru 'Vaillon' Cuvée 2018,France,Chablis 1er Cru 'Vaillons',3.9,35,https://www.vivino.com/domaine-christian-moreau-pere-and-fils-chablis-1er-cru-vaillon-cuvee/w/86744?year=2018&price_id=20321011
Jean Chartron,Champs Perrier Santenay 2015,France,Santenay,3.9,35,https://www.vivino.com/domaine-jean-chartron-champs-perrier-santenay/w/4644930?year=2015&price_id=13005628
Les Héritiers Saint-Genys,Santenay Blanc 2015,France,Santenay,3.9,35,https://www.vivino.com/patrice-du-jeu-les-heritiers-saint-genys-santenay/w/5371110?year=2015&price_id=18875103
Giant Steps,Wombat Creek Single Vineyard Chardonnay 2018,Australia,Yarra Valley,3.9,35,https://www.vivino.com/giant-steps-wombat-creek-single-vineyard-chardonnay/w/6298259?year=2018&price_id=20505267
Bindi,Kostas Rind Chardonnay 2015,Australia,Macedon Ranges,3.9,35,https://www.vivino.com/bindi-kostas-rind-chardonnay/w/2618788?year=2015&price_id=7730042
Albert Pic,Saint Pierre Chablis 2018,France,Chablis,3.9,35,https://www.vivino.com/albert-pic-saint-pierre-chablis/w/1393077?year=2018&price_id=20027954
Von Winning,Chardonnay II 2015,Germany,Pfalz,3.9,34,https://www.vivino.com/de-von-winning-chardonnay-ii-pfalz/w/5290719?year=2015&price_id=15032662
Domaine des Roches Neuves,Clos de l'Échelier Saumur Blanc 2014,France,Saumur,3.9,34,https://www.vivino.com/domaine-des-roches-neuves-clos-de-l-echelier-saumur-blanc/w/2264214?year=2014&price_id=8614387
Château Malartic-Lagravière,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2017,France,Pessac-Léognan,3.9,34,https://www.vivino.com/chateau-malartic-lagraviere-pessac-leognan-blanc-grand-cru-classe-de-graves/w/1174521?year=2017&price_id=15658729
Domaine Laroche,Les Vaillons Vieilles Vignes Chablis Premier Cru 2018,France,Chablis 1er Cru 'Vaillons',3.9,34,https://www.vivino.com/domaine-laroche-les-vaillons-vieilles-vignes-chablis-premier-cru/w/14259?year=2018&price_id=19636142
Alain Gras,Le Meursault d'Alain Gras 2017,France,Meursault,3.9,33,https://www.vivino.com/alain-gras-le-meursault-d-alain-gras/w/1210252?year=2017&price_id=17593683
Josmeyer,Riesling Grand Cru Brand 2016,France,Alsace Grand Cru 'Brand',3.9,33,https://www.vivino.com/josmeyer-and-fils-sa-riesling-grand-cru-brand/w/23153?year=2016&price_id=17620622
Domaine du Vieux Télégraphe,Châteauneuf-du-Pape (La Crau) Blanc 2017,France,Châteauneuf-du-Pape,3.9,33,https://www.vivino.com/vieux-telegraphe-chateauneuf-du-pape-la-crau-blanc/w/1147233?year=2017&price_id=20551964
Bouchard Père & Fils,Beaune du Château Premier Cru Blanc 2016,France,Beaune Premier Cru,3.9,33,https://www.vivino.com/bouchard-pere-and-fils-beaune-du-chateau-premier-cru-blanc/w/1155797?year=2016&price_id=17319937
Faiveley,Puligny-Montrachet 2011,France,Puligny-Montrachet,3.9,33,https://www.vivino.com/faiveley-puligny-montrachet/w/1216921?year=2011&price_id=4327095
Le Macchiole,Paleo Bianco 2009,Italy,Toscana,3.9,33,https://www.vivino.com/le-macchiole-paleo-bianco/w/16416?year=2009&price_id=12814320
Le Macchiole,Paleo Bianco 2011,Italy,Toscana,3.9,33,https://www.vivino.com/le-macchiole-paleo-bianco/w/16416?year=2011&price_id=12814075
Dirler-Cadé,Alsace Grand Cru Saering Riesling 2013,France,Alsace Grand Cru 'Saering',3.9,33,https://www.vivino.com/dirler-cade-alsace-grand-cru-saering-riesling/w/1509976?year=2013&price_id=15873222
Clos d'Agon,Blanco 2016,Spain,Catalunya,3.9,33,https://www.vivino.com/clos-d-agon-blanco/w/1239187?year=2016&price_id=14264486
Château de Fosse-Sèche,Les Tris de la Chapelle 2011,France,Saumur,3.9,33,https://www.vivino.com/chateau-de-fosse-seche-les-tris-de-la-chapelle/w/1214263?year=2011&price_id=17986312
Pujanza,S.J. Anteportalatina 2015,Spain,Rioja,3.9,32,https://www.vivino.com/pujanza-s-j-anteportalatina/w/5797172?year=2015&price_id=14174893
Francois Villard,Crozes-Hermitage Cour de Récré 2017,France,Crozes-Hermitage,3.9,32,https://www.vivino.com/domaine-francois-villard-crozes-hermitage-cour-de-recre/w/3891147?year=2017&price_id=18256928
Rudolf Fürst,Pur Mineral Riesling 2016,Germany,Franken,3.9,32,https://www.vivino.com/rudolf-furst-pur-mineral-riesling/w/1117563?year=2016&price_id=17623606
Delas,Clos Boucher Condrieu 2016,France,Condrieu,3.9,32,https://www.vivino.com/delas-freres-clos-boucher-condrieu/w/14598?year=2016&price_id=15815474
Koehler-Ruprecht,Kallstadter Saumagen Riesling Kabinett Trocken 2010,Germany,Pfalz,3.9,31,https://www.vivino.com/weingut-koehler-ruprecht-kallstadter-saumagen-riesling-kabinett-trocken/w/1875804?year=2010&price_id=13339673
Domaine Philippe Pernot-Belicard,Puligny-Montrachet 2016,France,Puligny-Montrachet,3.9,31,https://www.vivino.com/pernot-belicard-puligny-montrachet/w/1700856?year=2016&price_id=19355908
Vigneti Massa,Derthona Sterpi 2017,Italy,Piemonte,3.9,31,https://www.vivino.com/vigneti-massa-derthona-sterpi/w/1275628?year=2017&price_id=19814284
Domaine des Terres Blanches,Les Baux de Provence Blanc 2018,France,Les Baux-de-Provence,3.9,31,https://www.vivino.com/domaine-des-terres-blanches-les-baux-de-provence-blanc/w/5731213?year=2018&price_id=21546309
Schieferkopf,Lieu-dit Buehl Riesling 2015,France,Alsace,3.9,30,https://www.vivino.com/schieferkopf-lieu-dit-buehl-riesling/w/1954277?year=2015&price_id=14848931
Cascina Degli Ulivi,Montemarino 2009,Italy,Monferrato,3.9,30,https://www.vivino.com/cascina-degli-ulivi-montemarino/w/4586103?year=2009&price_id=13527780
Clos des Centenaires,Roussanne 2017,France,Costières-de-Nîmes,3.9,30,https://www.vivino.com/clos-des-centenaires-clos-des-centenaires/w/5774352?year=2017&price_id=17559979
Bouchard Père & Fils,Meursault Blanc 2016,France,Meursault,3.9,30,https://www.vivino.com/bouchard-pere-and-fils-meursault-blanc/w/1258410?year=2016&price_id=15583614
Azienda Agricola Campogrande,Cinqueterre 2010,Italy,Cinque Terre,3.9,29,https://www.vivino.com/azienda-agricola-campogrande-cinqueterre-cinque-terre/w/1832276?year=2010&price_id=13499383
Domaine Zind Humbrecht,Pinot Gris Alsace Heimbourg 2016,France,Alsace,3.9,29,https://www.vivino.com/domaine-zind-humbrecht-pinot-gris-alsace-heimbourg/w/82280?year=2016&price_id=21516445
Jean Macle,Côtes du Jura 2015,France,Château-Chalon,3.9,28,https://www.vivino.com/fr-jean-macle-cotes-du-jura/w/1426814?year=2015&price_id=20321055
Kooyong,Beurrot Pinot Gris 2017,Australia,Mornington Peninsula,3.9,28,https://www.vivino.com/kooyong-beurrot-pinot-gris/w/1985929?year=2017&price_id=21437124
Sébastien Riffault,Akménine Sancerre 2016,France,Sancerre,3.9,28,https://www.vivino.com/etienne-et-sebastien-riffault-akmenine-sancerre/w/1211354?year=2016&price_id=21516725
Brokenwood,Cricket Pitch White 2017,Australia,South Eastern Australia,3.9,28,https://www.vivino.com/au-brokenwood-cricket-pitch-white/w/2031506?year=2017&price_id=16110317
Ministry of Clouds,Riesling 2019,Australia,Clare Valley,3.9,28,https://www.vivino.com/ministry-of-clouds-riesling/w/3163347?year=2019&price_id=21040463
Sartori,Sella Soave Classico 2017,Italy,Soave,3.9,28,https://www.vivino.com/sartori-sella-soave-classico/w/75257?year=2017&price_id=21116717
Les Cretes,Cuvée Bois Chardonnay 2017,Italy,Valle d'Aosta,3.9,28,https://www.vivino.com/les-cretes-cuvee-bois-chardonnay/w/95228?year=2017&price_id=20761637
Villa Baulieu,Blanc 2014,France,Coteaux d'Aix-en-Provence,3.9,27,https://www.vivino.com/villa-baulieu-provence-blanc/w/1567056?year=2014&price_id=12834069
Buisson-Charles,Hautes Coutures Bourgogne Chardonnay 2015,France,Bourgogne,3.9,27,https://www.vivino.com/fr-buisson-charles-hautes-coutures-bourgogne-chardonnay/w/4140556?year=2015&price_id=20542676
Chanson,Pernand-Vergelesses Premier Cru Les Caradeux Blanc 2017,France,Côte de Beaune,3.9,27,https://www.vivino.com/chanson-pere-and-fils-pernand-vergelesses-premier-cru-les-caradeux-blanc/w/2204182?year=2017&price_id=17646914
Elena Walch,Riesling Alto Adige Castel Ringberg 2018,Italy,Südtirol - Alto Adige,3.9,27,https://www.vivino.com/elena-walch-srl-riesling-alto-adige-castel-ringberg/w/1642484?year=2018&price_id=20493194
Domaine Long Depaquit,Chablis Grand Cru 'Les Vaudésirs' 2013,France,Chablis Grand Cru 'Vaudesir',3.9,27,https://www.vivino.com/domaine-long-depaquit-chablis-grand-cru-les-vaudesirs/w/1241593?year=2013&price_id=9136492
Berthet Bondet,Château-Chalon 2012,France,Château-Chalon,3.9,26,https://www.vivino.com/berthet-bondet-chateau-chalon/w/1186030?year=2012&price_id=21202448
Kühling-Gillot,Ölberg Riesling 2015,Germany,Rheinhessen,3.9,26,https://www.vivino.com/kuhling-gillot-olberg-riesling/w/1291998?year=2015&price_id=19027078
Domaine Long Depaquit,Chablis Premier Cru 'Les Vaillons' 2018,France,Chablis 1er Cru 'Vaillons',3.9,26,https://www.vivino.com/domaine-long-depaquit-chablis-premier-cru-les-vaillons/w/1160872?year=2018&price_id=21000192
Luis Alegre,Finca La Reñana Blanco Fermentado en Barrica 2013,Spain,Rioja,3.9,26,https://www.vivino.com/es-luis-alegre-finca-la-renana-blanco-fermentado-en-barrica/w/3838797?year=2013&price_id=14650527
Louis Latour,Beaune Blanc 2014,France,Beaune,3.9,25,https://www.vivino.com/louis-latour-beaune-blanc/w/7212?year=2014&price_id=17319845
Hay Shed Hill,Chardonnay 2017,Australia,Margaret River,3.9,25,https://www.vivino.com/hay-shed-hill-chardonnay/w/1100608?year=2017&price_id=21376111
Domaine François Pinon,Vouvray 'Les Déronnières' 2018,France,Vouvray,3.9,25,https://www.vivino.com/domaine-franoois-pinon-vouvray-les-deronnieres/w/4259569?year=2018&price_id=21054354
Anselmo Mendes,Contacto Alvarinho 2018,Portugal,Monção e Melgaço,3.8,1945,https://www.vivino.com/pt-anselmo-mendes-contacto-alvarinho/w/1201076?year=2018&price_id=19147204
Pieropan,Soave Classico 2018,Italy,Soave Classico,3.8,1676,https://www.vivino.com/pieropan-soave-classico/w/22925?year=2018&price_id=18646281
Feudi di San Gregorio,Greco Di Tufo 2015,Italy,Greco di Tufo,3.8,1516,https://www.vivino.com/feudi-di-san-gregorio-greco-di-tufo/w/7666?year=2015&price_id=19732599
Louis Jadot,Chablis 2015,France,Chablis,3.8,1442,https://www.vivino.com/louis-jadot-chablis/w/2824?year=2015&price_id=14261134
Dog Point,Sauvignon Blanc 2016,New Zealand,Marlborough,3.8,1380,https://www.vivino.com/dog-point-sauvignon-blanc/w/79385?year=2016&price_id=21013931
Argiolas,Costamolino Vermentino di Sardegna 2015,Italy,Vermentino di Sardegna,3.8,1039,https://www.vivino.com/argiolas-costamolino-vermentino-di-sardegna/w/82192?year=2015&price_id=20732044
Decoy,Sonoma County Chardonnay 2016,United States,Sonoma County,3.8,1035,https://www.vivino.com/decoy-sonoma-county-chardonnay/w/1162743?year=2016&price_id=14501459
Bucci,Bucci Verdicchio dei Castelli di Jesi Classico Superiore 2016,Italy,Verdicchio dei Castelli di Jesi,3.8,953,https://www.vivino.com/bucci-bucci-verdicchio-dei-castelli-di-jesi-classico-superiore/w/23035?year=2016&price_id=13400370
Domaine Laroche,Chablis ‘Saint Martin’ 2016,France,Chablis,3.8,935,https://www.vivino.com/domaine-laroche-chablis-saint-martin/w/1175557?year=2016&price_id=12362677
Cloudy Bay,Chardonnay 2013,New Zealand,Marlborough,3.8,900,https://www.vivino.com/cloudy-bay-chardonnay/w/18979?year=2013&price_id=4863329
Domaine Laroche,Chablis ‘Saint Martin’ 2017,France,Chablis,3.8,876,https://www.vivino.com/domaine-laroche-chablis-saint-martin/w/1175557?year=2017&price_id=15563930
Van Volxem,Saar Riesling 2015,Germany,Mosel,3.8,817,https://www.vivino.com/weingut-van-volxem-saar-riesling/w/18469?year=2015&price_id=13864319
Pazo San Mauro,Rías Baixas Albarino 2018,Spain,Rías Baixas,3.8,716,https://www.vivino.com/pazo-san-mauro-rias-baixas-albarino/w/96992?year=2018&price_id=21454740
Bernhard Ott,Am Berg 2017,Austria,Wagram,3.8,604,https://www.vivino.com/bernhard-ott-am-berg/w/92156?year=2017&price_id=14913176
Jermann,Vinnae (Servus Cella) Ribolla Gialla 2018,Italy,Friuli-Venezia Giulia,3.8,578,https://www.vivino.com/jermann-vinnae-servus-cella-ribolla-gialla/w/79495?year=2018&price_id=19757520
Garofoli,Podium Verdicchio dei Castelli di Jesi Classico Superiore 2013,Italy,Verdicchio dei Castelli di Jesi,3.8,549,https://www.vivino.com/casa-vinicola-gioacchino-garofoli-spa-podium-verdicchio-dei-castelli-di-jesi-classico-superiore/w/1809428?year=2013&price_id=21283647
Groot Constantia,Sauvignon Blanc 2016,South Africa,Constantia,3.8,526,https://www.vivino.com/groot-constantia-sauvignon-blanc/w/1117216?year=2016&price_id=10377365
Terredora,Greco di Tufo Loggia della Serra 2016,Italy,Greco di Tufo,3.8,513,https://www.vivino.com/terredora-di-paolo-greco-di-tufo-loggia-della-serra/w/1623577?year=2016&price_id=17670148
Donnafugata,Lighea 2014,Italy,Terre Siciliane,3.8,508,https://www.vivino.com/donnafugata-lighea/w/7663?year=2014&price_id=20732049
Hugel,Gewürztraminer 2015,France,Alsace,3.8,496,https://www.vivino.com/hugel-gewurztraminer-alsace/w/5114?year=2015&price_id=19959233
Leroy,Bourgogne Blanc 2015,France,Bourgogne,3.8,466,https://www.vivino.com/domaine-leroy-bourgogne-blanc/w/99971?year=2015&price_id=15610638
Bernhard Ott,Am Berg 2016,Austria,Wagram,3.8,431,https://www.vivino.com/bernhard-ott-am-berg/w/92156?year=2016&price_id=10280680
Klein Constantia,Sauvignon Blanc 2018,South Africa,Constantia,3.8,412,https://www.vivino.com/klein-constantia-sauvignon-blanc/w/65154?year=2018&price_id=18675936
Terres Dorées,Chardonnay Classic Beaujolais 2018,France,Beaujolais,3.8,405,https://www.vivino.com/terres-dorees-chardonnay-classic-beaujolais/w/2206131?year=2018&price_id=21054405
Trimbach,Riesling Alsace Réserve 2016,France,Alsace,3.8,403,https://www.vivino.com/trimbach-alsace-riesling-alsace-reserve/w/63714?year=2016&price_id=16231320
Marco Felluga,Mongris Collio Pinot Grigio 2018,Italy,Collio,3.8,388,https://www.vivino.com/marco-felluga-mongris-collio-pinot-grigio/w/53164?year=2018&price_id=20765493
Joseph Drouhin,Rully Blanc 2017,France,Rully,3.8,385,https://www.vivino.com/joseph-drouhin-rully-blanc/w/24144?year=2017&price_id=18768083
Ciù Ciù,Pecorino Offida Merlettaie 2018,Italy,Offida,3.8,385,https://www.vivino.com/ciu-ciu-pecorino-offida-merlettaie/w/1168329?year=2018&price_id=18680756
Schloss Lieser,SL Riesling Trocken 2014,Germany,Mosel,3.8,381,https://www.vivino.com/schloss-lieser-sl-riesling-trocken/w/2361197?year=2014&price_id=14650539
Garofoli,Podium Verdicchio dei Castelli di Jesi Classico Superiore 2015,Italy,Verdicchio dei Castelli di Jesi,3.8,374,https://www.vivino.com/casa-vinicola-gioacchino-garofoli-spa-podium-verdicchio-dei-castelli-di-jesi-classico-superiore/w/1809428?year=2015&price_id=19924727
Domaine Pattes Loup,Chablis 2014,France,Chablis,3.8,356,https://www.vivino.com/domaine-pattes-loup-chablis/w/2075578?year=2014&price_id=16618201
Trimbach,Pinot Gris Alsace Réserve 2016,France,Alsace,3.8,353,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve/w/63724?year=2016&price_id=19246237
Jermann,Sauvignon 2018,Italy,Venezia Giulia,3.8,342,https://www.vivino.com/jermann-sauvignon/w/1591133?year=2018&price_id=19689155
Peter Zemmer,Pinot Grigio 2016,Italy,Südtirol - Alto Adige,3.8,318,https://www.vivino.com/peter-zemmer-pinot-grigio/w/1636600?year=2016&price_id=15731269
Clos Floridène,Graves Blanc 2015,France,Graves,3.8,311,https://www.vivino.com/clos-floridene-graves-blanc/w/1239616?year=2015&price_id=15443988
Donnafugata,Vigna Di Gabri 2017,Italy,Terre Siciliane,3.8,291,https://www.vivino.com/donnafugata-vigna-di-gabri/w/7664?year=2017&price_id=20725841
Casa Silva,Cool Coast Sauvignon Blanc 2012,Chile,Colchagua Valley,3.8,277,https://www.vivino.com/casa-silva-cool-coast-sauvignon-blanc/w/1261199?year=2012&price_id=3680217
Les Héritiers du Comte Lafon,Mâcon-Milly-Lamartine 2016,France,Mâcon-Milly-Lamartine,3.8,271,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-milly-lamartine/w/1101278?year=2016&price_id=18250586
ColleMassari,Melacce Vermentino Montecucco 2018,Italy,Montecucco,3.8,257,https://www.vivino.com/colle-massari-melacce-vermentino-montecucco/w/1885273?year=2018&price_id=21101127
Terres Dorées,Beaujolais Blanc 2016,France,Beaujolais,3.8,255,https://www.vivino.com/terres-dorees-beaujolais-blanc/w/1252828?year=2016&price_id=17599029
Château de Chantegrive,Caroline Graves 2015,France,Graves,3.8,238,https://www.vivino.com/chateau-de-chantegrive-caroline-graves/w/95315?year=2015&price_id=7115624
Domaine des Roches Neuves,L'Insolite Saumur 2017,France,Saumur,3.8,237,https://www.vivino.com/domaine-des-roches-neuves-l-insolite-saumur/w/1922265?year=2017&price_id=14512174
Twomey,Sauvignon Blanc 2015,United States,Napa County,3.8,231,https://www.vivino.com/twomey-cellars-sauvignon-blanc/w/14902?year=2015&price_id=12263884
Tabali,Talinay Coastal Limestone Vineyard Sauvignon Blanc 2013,Chile,Limarí Valley,3.8,231,https://www.vivino.com/tabali-talinay-coastal-limestone-vineyard-sauvignon-blanc/w/1611997?year=2013&price_id=16730250
Capannelle,Chardonnay Toscana 2011,Italy,Toscana,3.8,228,https://www.vivino.com/azienda-agricola-capannelle-srl-chardonnay-toscana/w/1648?year=2011&price_id=21437594
Huia,Sauvignon Blanc 2016,New Zealand,Marlborough,3.8,222,https://www.vivino.com/nz-huia-vineyards-sauvignon-blanc/w/1117213?year=2016&price_id=19924828
Lvnae,Vermentino (Etichetta Grigia/Grey Label) 2018,Italy,Colli di Luni,3.8,207,https://www.vivino.com/lvnae-vermentino-etichetta-grigia-grey-label/w/1145850?year=2018&price_id=20572279
Ixsir,Altitudes Blanc 2014,Lebanon,Mount Lebanon,3.8,205,https://www.vivino.com/ixsir-altitudes-blanc/w/2250562?year=2014&price_id=7345091
Clos Floridène,Graves Blanc 2010,France,Graves,3.8,197,https://www.vivino.com/clos-floridene-graves-blanc/w/1239616?year=2010&price_id=15869553
Cederberg,Chenin Blanc 2017,South Africa,Citrusdal Mountain,3.8,195,https://www.vivino.com/cederberg-chenin-blanc/w/23323?year=2017&price_id=20587416
Giant Steps,Chardonnay 2017,Australia,Yarra Valley,3.8,189,https://www.vivino.com/giant-steps-chardonnay/w/4564203?year=2017&price_id=16889942
Domaine William Fèvre,Chablis 2017,France,Chablis,3.8,186,https://www.vivino.com/domaine-william-fevre-chablis/w/7255299?year=2017&price_id=18922200
Chateau Montelena,Riesling 2014,United States,Potter Valley,3.8,183,https://www.vivino.com/chateau-montelena-winery-riesling/w/1700?year=2014&price_id=10373017
Groth,Chardonnay Hillview Vineyard 2013,United States,Napa Valley,3.8,182,https://www.vivino.com/groth-chardonnay-hillview-vineyard/w/2387411?year=2013&price_id=12792589
Jean Leon,Chardonnay Penedès Vinya Gigi 2014,Spain,Penedès,3.8,180,https://www.vivino.com/jean-leon-chardonnay-penedes-vinya-gigi/w/1535901?year=2014&price_id=14547410
Dr. Bürklin-Wolf,Ruppertsberger Riesling 2014,Germany,Pfalz,3.8,177,https://www.vivino.com/dr-boandfrac14rklin-wolfsche-ruppertsberger-riesling-pfalz/w/1147045?year=2014&price_id=5691134
Billaud-Simon,Chablis 1er Cru 'Vaillons' 2015,France,Chablis 1er Cru 'Vaillons',3.8,172,https://www.vivino.com/fr-billaud-simon-chablis-1er-cru-vaillons/w/23285?year=2015&price_id=14306364
Dönnhoff,Tonschiefer Riesling Trocken 2018,Germany,Nahe,3.8,172,https://www.vivino.com/donnhoff-tonschiefer-riesling-trocken/w/1155960?year=2018&price_id=20493206
Baglio di Pianetto,Ficiligno Viognier - Inzolia 2015,Italy,Terre Siciliane,3.8,170,https://www.vivino.com/baglio-di-pianetto-ficiligno-viognier-inzolia/w/80502?year=2015&price_id=21101103
Domaine Fouassier,Sancerre 'Les Romains' 2014,France,Sancerre,3.8,168,https://www.vivino.com/fouassier-sancerre-les-romains/w/1153188?year=2014&price_id=13498145
Tenute Dettori,Renosu Romangia Bianco 2018,Italy,Romangia,3.8,165,https://www.vivino.com/tenute-dettori-renosu-romangia-bianco/w/1425862?year=2018&price_id=18648980
Trimbach,Riesling Alsace Cuvée Frédéric Emile 2012,France,Alsace,3.8,162,https://www.vivino.com/trimbach-alsace-riesling-alsace-cuvee-frederic-emile/w/63804?year=2012&price_id=20962612
Twomey,Sauvignon Blanc 2014,United States,Napa County,3.8,161,https://www.vivino.com/twomey-cellars-sauvignon-blanc/w/14902?year=2014&price_id=12140924
Pierre Morey,Bourgogne Chardonnay 2015,France,Bourgogne,3.8,157,https://www.vivino.com/pierre-morey-bourgogne-chardonnay/w/779230?year=2015&price_id=16104209
Hubert Lamy,La Princée Saint-Aubin 2016,France,Saint-Aubin,3.8,157,https://www.vivino.com/domaine-hubert-lamy-la-princee-saint-aubin/w/1127431?year=2016&price_id=17599087
Trimbach,Gewürztraminer Alsace Réserve 2013,France,Alsace,3.8,157,https://www.vivino.com/trimbach-alsace-gewurztraminer-alsace-reserve/w/63734?year=2013&price_id=14428677
Trimbach,Gewürztraminer Alsace Réserve 2011,France,Alsace,3.8,157,https://www.vivino.com/trimbach-alsace-gewurztraminer-alsace-reserve/w/63734?year=2011&price_id=16080724
Weingut R&A Pfaffl,Hund Grüner Veltliner Reserve 2012,Austria,Weinviertel,3.8,151,https://www.vivino.com/weingut-r-a-pfaffl-hund-gruner-veltliner-reserve/w/1630411?year=2012&price_id=19505873
Vincent Pinard,Florés Sancerre 2017,France,Sancerre,3.8,150,https://www.vivino.com/vincent-pinard-flores-sancerre/w/1180038?year=2017&price_id=16283058
François Mikulski,Chardonnay Bourgogne 2016,France,Bourgogne,3.8,144,https://www.vivino.com/francois-mikulski-chardonnay-bourgogne/w/1369067?year=2016&price_id=21544427
Trimbach,Gewürztraminer Alsace Cuvée des Seigneurs de Ribeaupierre 2012,France,Alsace,3.8,141,https://www.vivino.com/trimbach-alsace-gewurztraminer-alsace-cuvee-des-seigneurs-de-ribeaupierre/w/1439417?year=2012&price_id=17814901
Kante,Vitovska 2016,Italy,Carso,3.8,140,https://www.vivino.com/kante-vitovska/w/1251525?year=2016&price_id=20159969
Dominique Roger,Domaine du Carrou Sancerre Blanc 2017,France,Sancerre,3.8,139,https://www.vivino.com/roger-domaine-du-carrou-sancerre-blanc/w/1197740?year=2017&price_id=15853075
Domaine A Cailbourdin,Les Cris Pouilly-Fumé 2018,France,Pouilly-Fumé,3.8,138,https://www.vivino.com/a-cailbourdin-les-cris-pouilly-fume/w/48534?year=2018&price_id=21195829
L. A. Cetto,Don Luis Viognier 2016,Mexico,Baja California,3.8,137,https://www.vivino.com/la-cetto-don-luis-viognier/w/1198921?year=2016&price_id=15809247
Terenzi,Balbino Vermentino di Maremma Toscana 2016,Italy,Maremma Toscana,3.8,137,https://www.vivino.com/terenzi-balbino-vermentino-di-maremma-toscana/w/1167322?year=2016&price_id=15731345
Marcel Deiss,Riesling 2017,France,Alsace,3.8,137,https://www.vivino.com/marcel-deiss-riesling/w/93778?year=2017&price_id=17189585
Les Poëte,Reuilly Blanc 2014,France,Reuilly,3.8,135,https://www.vivino.com/les-poete-reuilly-blanc/w/1469884?year=2014&price_id=15611216
Terredora,Falanghina Irpinia White 2016,Italy,Irpinia,3.8,133,https://www.vivino.com/terredora-di-paolo-falanghina-irpinia-white/w/1679482?year=2016&price_id=17670130
Bibi Graetz,Toscana Bugia 2014,Italy,Toscana,3.8,123,https://www.vivino.com/bibi-graetz-toscana-bugia/w/1181491?year=2014&price_id=9163321
Kante,Malvasia 2013,Italy,Carso,3.8,123,https://www.vivino.com/kante-malvasia/w/1249797?year=2013&price_id=11080844
Suertes del Marqués,Vidonia 2016,Spain,Valle de la Orotava,3.8,118,https://www.vivino.com/suertes-del-marques-vidonia/w/1595719?year=2016&price_id=20848095
Schloss Vollrads,Riesling Kabinett Feinherb 2017,Germany,Rheingau,3.8,116,https://www.vivino.com/schloss-vollrads-riesling-kabinett-feinherb/w/1207903?year=2017&price_id=18329598
Terroir Al Límit Soc. Lda,Terra de Cuques 2014,Spain,Priorat,3.8,112,https://www.vivino.com/terroir-al-limit-terra-de-cuques/w/1704723?year=2014&price_id=14123595
Schäfer-Fröhlich,Vulkangestein Riesling Trocken 2017,Germany,Nahe,3.8,105,https://www.vivino.com/schafer-frohlich-vulkangestein-riesling-trocken/w/1873211?year=2017&price_id=18460787
Twomey,Sauvignon Blanc 2013,United States,Napa County,3.8,104,https://www.vivino.com/twomey-cellars-sauvignon-blanc/w/14902?year=2013&price_id=6970330
Ca N'Estruc,L'Equilibrista Blanc 2016,Spain,Catalunya,3.8,104,https://www.vivino.com/canestruc-l-equilibrista-blanc/w/1932660?year=2016&price_id=15226697
Alois Lageder,Dolomiti Pinot Bianco 2017,Italy,Vigneti delle Dolomiti,3.8,102,https://www.vivino.com/alois-lageder-dolomiti-pinot-bianco/w/5416?year=2017&price_id=16237102
Foradori,Nosiola Fontanasanta 2018,Italy,Vigneti delle Dolomiti,3.8,101,https://www.vivino.com/foradori-nosiola-fontanasanta/w/1206194?year=2018&price_id=20237831
I Clivi,San Pietro Friulano 2017,Italy,Colli Orientali del Friuli,3.8,101,https://www.vivino.com/i-clivi-galea-di-ferdinando-zanusso-and-figlio-san-pietro-friulano/w/1434517?year=2017&price_id=16056281
